kd_soal|kejuruan|no_soal|soal|jawaban_a|jawaban_b|jawaban_c|jawaban_d|jawaban_e|kunci_jwb
MM1|MULTIMEDIA|1|Kegiatan apa yang paling anda sukai|menggambar|menulis|menghitung|mengamati|mengungkapkan pendapat|a
MM2|MULTIMEDIA|2|ketika anda sulai mulai remaja film jenis apa yang benar-benar anda sukai|film sinetron|film pendek|film layar lebar|fil animasi|film dokumenter|d
MM3|MULTIMEDIA|3|penahkah anda melakukan proses editing video|pernah|sering|belum pernah|sesekali|tidak pernah dan tidak mau|c
MM4|MULTIMEDIA|4|software yang digunakan untuk membuat animasi adalah|adobe flash & 3d max|corel draw |adobe photoshop|microsoft excel|microsoft word & adobe acrobat|a
MM5|MULTIMEDIA|5|penggabungan warna merah dan kuning akan menghasilkan warna baru yaitu|hijau|biru|orange|ungu|merah muda|c
MM6|MULTIMEDIA|6|5x+2x=40 berapakah nilai x|4|3|2|1.5|2.5|c
TBSM1|SEPEDA MOTOR|1|Salah satu motor pembakaran yang menggunakan bahan bakar premium adalah|mesin bensin|mesin jet|mesin roket|mesin diesel|mesin gas|e
TBSM2|SEPEDA MOTOR|2|komponen kompresor yang berfungsi mengatur tekanan adalah|pipa saluran|katup pembuangan air|katup regulator|minometer|tabung kompresor|c
TBSM3|SEPEDA MOTOR|3|ketentuan garis yang harus diperhatikan dalam menggambar teknik adalah|tinggi garis|kondisi garis|tebal garis|garis ganda|garis miring|c
TBSM4|SEPEDA MOTOR|4|alat yang digunakan untuk mengukur tekanan kompresi pada silinder adalah|fire gauge|compresion tester|dial gauge|feeler gauge|manometer|b
TBSM5|SEPEDA MOTOR|5|apakah tindakan pertama bila kulit terkena air baterai|dilap dengan kain|dicuci dengan air|dicuci dengan air dan sabun|dilap dengan kapas|dicuci dengan alkohol|b
TBSM6|SEPEDA MOTOR|6|pemeriksaan pertama yang dilakukan bila klakson tidak berfungsi adalah|tegangan baterai|saklar|sekring|kabel|klakson|a
TITL1|KELISTRIKAN|1|Suatu komponen listrik yang berfungsi untuk memutuskan tau menyambungkan arus di dalam jaringan listrik tertentu dise|generator|papan pembagi|beban|sekering|saklar|e
TITL2|KELISTRIKAN|2|Alat untul mengukur arus, tegangan, dan hambatan listrik dalam satu alat disebut |voltmeter|ohmmeter|avometer|amperemeter|multimeter|c
TITL3|KELISTRIKAN|3|Komponen elektronika yang berfungsi untuk menaikkan dan menurunkan tegangan listrik bolak-balik disebut |resistor|transformator|diode|kapasitor|relay|b
TITL4|KELISTRIKAN|4|Berikut yang merupakan besaran skalar, kecuali|perpindahan|jarak|kelajuan|suhu|waktu|e
TITL5|KELISTRIKAN|5|Sensor yang dapat mendeteksi adanya beban muatan sehingga menyebabkan adanya regangan pada elemen sensor tersebut adalah .|strain gauge|RFID|foto transistor|thermocouple|LED|a
TITL6|KELISTRIKAN|6|Jenis kapasitor yang hanya dapat bekerja dengan pemasangan kaki komponen pada posisi tertentu sesuai polaritasnya dan nilai kapasitif yang tetap adalah |kapasitor poleiter|kapasitor tantalum|kapasitor variable|kapasitor kertas|kapasitor mika|b
TKR1|OTOMOTIF|1|Yang berfungsi untuk merubah bahan bakar dalam bentuk cair menjadi kabut bahan bakar adalah :| Filter|Pompa bahan bakar|Charcoal canister|Karburator|Chocke valve|d
TKR2|OTOMOTIF|2|Berikut ini merupakan beberapa sistem yang terdapat pada karburator, kecuali:|Sistem cuk|Sistem pengisian|Sistem tenaga|Sistem percepatan| Venturi|e
TKR3|OTOMOTIF|3|Komponen sistem pelampung yang berfungsi untuk menghentikan dan menyalurkan suplai bahan bakar yang masuk ke ruang pelampung adalah:|Float control level|Needle valve spring|Needle valve|Plunger|Slow port|c
TKR4|OTOMOTIF|4| Pada kecepatan lambat campuran udara dan bahan bakar akan keluar melalui :|Idle port|idel port|Main nozle dan slow port| Idle port dan slow port|Plunger dan needle valve|b
TKR5|OTOMOTIF|5|Pada kecepatan lambat campuran udara dan bahan bakar akan keluar melaluix :|Idle portx|Slow portx| Main nozle dan slow portx|Idle port dan slow portx|Lip of float dan strainer|c
TKR6|OTOMOTIF|6| Bagian karburator yang terletak pada saluran stasioner dan kecepatan lambat, berfungsi untuk mempercepat aliran bahan bakar yaitu :|Economicer jet|Dashpot|Anti dieselling|Deceleration fuel cut-off system|Dashpotx|a
